feature_set,fpr,tpr,threshold
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.20424403183023873,0.990929635257292
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.20623342175066314,0.9908527009759088
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.20755968169761274,0.99080443075046
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.21684350132625996,0.9906886930198252
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.21816976127320956,0.9906767618040924
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.22347480106100795,0.9905657497532548
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.22480106100795755,0.9905470098490952
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.23607427055702918,0.9902115674440672
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.23740053050397877,0.9901715285866174
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.24005305039787797,0.990049789852211
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.2413793103448276,0.9900272926357092
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.2480106100795756,0.9898621692234524
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.2493368700265252,0.9898414148761354
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.2639257294429708,0.9893112507631904
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.26525198938992045,0.9892892508986598
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.27718832891246686,0.9889097047721936
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.27984084880636606,0.9888824664625354
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.2838196286472148,0.9887323205655676
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.28514588859416445,0.988724147959199
Conventional + AlphaEarth Embeddings,0.0027654867256637168,0.3037135278514589,0.9881925054728158
Conventional + AlphaEarth Embeddings,0.00331858407079646,0.3037135278514589,0.9881615775507504
Conventional + AlphaEarth Embeddings,0.00331858407079646,0.3096816976127321,0.9879728670466088
Conventional + AlphaEarth Embeddings,0.00331858407079646,0.3110079575596817,0.9879288150150508
Conventional + AlphaEarth Embeddings,0.00331858407079646,0.3116710875331565,0.9879191616267852
Conventional + AlphaEarth Embeddings,0.00331858407079646,0.3129973474801061,0.987905067893433
Conventional + AlphaEarth Embeddings,0.00331858407079646,0.3156498673740053,0.9877580852730776
Conventional + AlphaEarth Embeddings,0.00331858407079646,0.3169761273209549,0.987726083728299
Conventional + AlphaEarth Embeddings,0.00331858407079646,0.3302387267904509,0.9872476779194878
Conventional + AlphaEarth Embeddings,0.0038716814159292035,0.3302387267904509,0.9872218193067556
Conventional + AlphaEarth Embeddings,0.0038716814159292035,0.34283819628647216,0.986645333374214
Conventional + AlphaEarth Embeddings,0.004424778761061947,0.34283819628647216,0.9865837405484266
Conventional + AlphaEarth Embeddings,0.004424778761061947,0.34814323607427056,0.9863609357576306
Conventional + AlphaEarth Embeddings,0.004424778761061947,0.3494694960212202,0.9863488572289204
Conventional + AlphaEarth Embeddings,0.004424778761061947,0.3806366047745358,0.98483777366468
Conventional + AlphaEarth Embeddings,0.004424778761061947,0.3819628647214854,0.9848131853463588
Conventional + AlphaEarth Embeddings,0.004424778761061947,0.3885941644562334,0.9842446790259044
Conventional + AlphaEarth Embeddings,0.004424778761061947,0.38992042440318303,0.9841935388110168
Conventional + AlphaEarth Embeddings,0.00497787610619469,0.38992042440318303,0.9841693933089428
Conventional + AlphaEarth Embeddings,0.00497787610619469,0.40450928381962864,0.9832333932695164
Conventional + AlphaEarth Embeddings,0.00497787610619469,0.40583554376657827,0.9832116871944564
Conventional + AlphaEarth Embeddings,0.00497787610619469,0.40649867374005305,0.98315180694214
Conventional + AlphaEarth Embeddings,0.00497787610619469,0.4078249336870027,0.9831334092652568
Conventional + AlphaEarth Embeddings,0.00497787610619469,0.40848806366047746,0.9830922468496416
Conventional + AlphaEarth Embeddings,0.0055309734513274336,0.40848806366047746,0.9830814929550258
Conventional + AlphaEarth Embeddings,0.0055309734513274336,0.4171087533156499,0.9825545214454404
Conventional + AlphaEarth Embeddings,0.0055309734513274336,0.41843501326259946,0.9825382127509013
Conventional + AlphaEarth Embeddings,0.0055309734513274336,0.4350132625994695,0.9813511437624426
Conventional + AlphaEarth Embeddings,0.006084070796460177,0.4350132625994695,0.9812959946886708
Conventional + AlphaEarth Embeddings,0.006084070796460177,0.4469496021220159,0.9804285980061532
Conventional + AlphaEarth Embeddings,0.006084070796460177,0.4482758620689655,0.9803157296528332
Conventional + AlphaEarth Embeddings,0.006084070796460177,0.4489389920424403,0.98029553766263
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.4489389920424403,0.98007681069711
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.4562334217506631,0.9794119332852036
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.45755968169761274,0.9792770586937009
