feature_set,feature_set_name,held_out_domain,n_test,latent_dimensions,threshold_quantile,explained_variance_ratio,reference_distance_threshold,aoa_coverage,median_dissimilarity_index,p90_dissimilarity_index
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,10,0.9,0.8105651199801628,1.433507695488195,0.6513002364066194,0.8727243954452986,1.2805313325989767
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,10,0.95,0.8105651199801628,1.5634559034942046,0.7494089834515366,0.8001870306128244,1.1740986845179613
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,10,0.975,0.8105651199801628,1.6851210842721986,0.8203309692671394,0.7424137936363474,1.089329150722247
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,10,0.99,0.8105651199801628,1.8664033382727088,0.9184397163120568,0.6703037394205091,0.983523487100713
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,15,0.9,0.8902739406868064,2.3098331196854893,0.49645390070921985,1.007773286535426,1.4507394337136208
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,15,0.95,0.8902739406868064,2.5405399371503337,0.5803782505910166,0.9162572413582482,1.3189975654483101
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,15,0.975,0.8902739406868064,2.7736363522248997,0.6843971631205674,0.8392549774978842,1.2081490024232926
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,15,0.99,0.8902739406868064,3.015407569639309,0.7848699763593381,0.7719646716454529,1.1112812827575154
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,20,0.9,0.9321679351597854,3.1299145454244237,0.475177304964539,1.027383330049192,1.4544329245004013
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,20,0.95,0.9321679351597854,3.4310928053820575,0.5756501182033097,0.9372005395492304,1.3267641022700603
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,20,0.975,0.9321679351597854,3.708493035175954,0.6725768321513003,0.8670966880472994,1.2275203762171827
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,20,0.99,0.9321679351597854,4.01299663358637,0.7695035460992907,0.8013019501523433,1.1343769211362864
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,5,0.9,0.5923570254262749,0.5429238947773443,0.896551724137931,0.7203198585997983,1.006375983477493
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,5,0.95,0.5923570254262749,0.6100666141568519,0.9384236453201971,0.6410428862050785,0.8956162423592345
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,5,0.975,0.5923570254262749,0.6894173780648151,0.958128078817734,0.5672599437719735,0.7925323409944747
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,5,0.99,0.5923570254262749,0.7667288841277728,0.9778325123152709,0.5100614718087189,0.7126189972372652
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,10,0.9,0.8016160749646793,1.4516342965006095,0.8177339901477833,0.8209892125609453,1.122215279818343
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,10,0.95,0.8016160749646793,1.585659984714575,0.8817733990147784,0.7515962498259181,1.0273616058581245
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,10,0.975,0.8016160749646793,1.6954126879940217,0.9261083743842364,0.7029415943681434,0.9608552535776937
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,10,0.99,0.8016160749646793,1.871139008412569,0.9655172413793104,0.6369254730152691,0.8706174051832631
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,15,0.9,0.8921767605898087,2.314152681977312,0.5788177339901478,0.9491654013901087,1.2619641386888993
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,15,0.95,0.8921767605898087,2.5300721698953037,0.7438423645320197,0.8681624522030474,1.1542665584227
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,15,0.975,0.8921767605898087,2.7217975660906735,0.8349753694581281,0.8070084589067554,1.0729591842131936
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,15,0.99,0.8921767605898087,3.053057007607344,0.9384236453201971,0.7194473125768399,0.9565421440966744
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,20,0.9,0.9367668247056908,3.0724103203011253,0.42610837438423643,1.0400680770820816,1.3389793933312248
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,20,0.95,0.9367668247056908,3.3277683252328556,0.5566502463054187,0.9602579210856369,1.2362321245585903
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,20,0.975,0.9367668247056908,3.666650352785395,0.7339901477832512,0.8715082122338824,1.1219761119617662
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,20,0.99,0.9367668247056908,4.02407370946571,0.874384236453202,0.7940997418427043,1.0223207634254818
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,5,0.9,0.5416333190377627,0.6106050892564524,0.6441532258064516,0.8847869025024022,1.2315952828201973
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,5,0.95,0.5416333190377627,0.6931034039976391,0.8024193548387096,0.7794729941584007,1.0850016653457584
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,5,0.975,0.5416333190377627,0.7933853009425365,0.9445564516129032,0.6809495776309437,0.9478601969318811
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,5,0.99,0.5416333190377627,0.9218042218654684,0.9979838709677419,0.5860847376920197,0.8158113509963993
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,10,0.9,0.7375255273573418,1.4789576019811643,0.7731854838709677,0.8223582942628976,1.1013387581421519
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,10,0.95,0.7375255273573418,1.6321123894003147,0.9002016129032258,0.745189521721145,0.9979909099944465
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,10,0.975,0.7375255273573418,1.7543978213123965,0.9475806451612904,0.6932481539121835,0.9284287229063952
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,10,0.99,0.7375255273573418,1.8661631726965102,0.9717741935483871,0.6517292103106833,0.87282470929766
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,15,0.9,0.8096090277262221,2.3890414805806715,0.5272177419354839,0.9899880280588194,1.291911138478973
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,15,0.95,0.8096090277262221,2.600043707098138,0.6431451612903226,0.9096471947198348,1.187068236824055
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,15,0.975,0.8096090277262221,2.7448741434054957,0.7358870967741935,0.8616506042701229,1.1244338129183629
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,15,0.99,0.8096090277262221,2.9895712773917618,0.8588709677419355,0.7911242933716642,1.032398632670571
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,20,0.9,0.8577065757801613,3.263932860051639,0.5655241935483871,0.9727253880028055,1.2277402555468844
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,20,0.95,0.8577065757801613,3.50878528244183,0.7026209677419355,0.9048460085592234,1.1420652565263107
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,20,0.975,0.8577065757801613,3.790166585892391,0.8356854838709677,0.8376703993767354,1.0572785319261018
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,20,0.99,0.8577065757801613,4.103353797826715,0.9243951612903226,0.7737354647289698,0.9765820743534382
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,5,0.9,0.5230310369277101,0.5826797321380437,0.7642163661581137,0.7304182457149071,1.2244684778587498
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,5,0.95,0.5230310369277101,0.6978125181284968,0.8876560332871013,0.6099058080863073,1.0224421978036713
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,5,0.975,0.5230310369277101,0.7760891537548402,0.9306518723994452,0.5483904854265559,0.9193183041385401
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,5,0.99,0.5230310369277101,0.921675003446744,0.9833564493758669,0.46176787497795446,0.7741047137245489
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,10,0.9,0.715196871038395,1.4838157461979546,0.8377253814147018,0.7923328354476772,1.0843192270084798
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,10,0.95,0.715196871038395,1.6487390774618982,0.9292649098474342,0.7130758004940329,0.9758548001526086
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,10,0.975,0.715196871038395,1.762575086233577,0.9667128987517337,0.6670217607462173,0.9128291642760467
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,10,0.99,0.715196871038395,1.9112496556264171,0.9805825242718447,0.6151346758943459,0.8418209197338199
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,15,0.9,0.8047967933810778,2.3978231537974315,0.897364771151179,0.7856288843493109,1.002038707638088
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,15,0.95,0.8047967933810778,2.6090905890537943,0.9542302357836339,0.7220136920841815,0.9209000347692887
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,15,0.975,0.8047967933810778,2.8156566497319875,0.9778085991678225,0.6690443344234228,0.8533397047557517
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,15,0.99,0.8047967933810778,3.0547867064703436,0.9930651872399445,0.6166712475194249,0.7865398946141411
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,20,0.9,0.8535201421544436,3.272806005384784,0.8765603328710125,0.8031192106616338,1.027367020234319
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,20,0.95,0.8535201421544436,3.574655474543356,0.9431345353675451,0.7353025751465053,0.9406145508293148
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,20,0.975,0.8535201421544436,3.782943165057559,0.9722607489597781,0.6948170408616989,0.8888246021285361
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,20,0.99,0.8535201421544436,4.094078538982667,0.9916782246879334,0.6420134227191509,0.8212771009499642
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,5,0.9,0.5397892340463883,0.5067406187896152,0.33048433048433046,1.3118659342526617,2.3571019798935584
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,5,0.95,0.5397892340463883,0.5954765987055916,0.4415954415954416,1.1163759528707877,2.0058543332145775
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,5,0.975,0.5397892340463883,0.6841083140668682,0.5213675213675214,0.9717405001852264,1.7459798269967206
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,5,0.99,0.5397892340463883,0.8021778139287196,0.6296296296296297,0.8287137137792763,1.4889957003318781
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,10,0.9,0.7230819362604728,1.4233715014219956,0.4131054131054131,1.0649792976343864,1.5956991794896591
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,10,0.95,0.7230819362604728,1.5520629991556032,0.5213675213675214,0.9766750336048861,1.463389526174984
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,10,0.975,0.7230819362604728,1.671758843023862,0.5925925925925926,0.9067463218051973,1.3586126649821009
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,10,0.99,0.7230819362604728,1.8401411823759084,0.6809116809116809,0.8237743909953619,1.2342926503038623
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,15,0.9,0.8070505900719044,2.287883343902232,0.29914529914529914,1.1995705794880913,1.736913886216208
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,15,0.95,0.8070505900719044,2.5109354261794694,0.4017094017094017,1.0930100073588236,1.5826198908320817
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,15,0.975,0.8070505900719044,2.6921011888357027,0.47863247863247865,1.0194555687681643,1.4761170072456293
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,15,0.99,0.8070505900719044,3.0568378660768674,0.5982905982905983,0.8978158701521854,1.299989245149789
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,20,0.9,0.8551406256728956,3.1900862771184775,0.32763532763532766,1.1819322619888473,1.6124396068019367
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,20,0.95,0.8551406256728956,3.454308786819899,0.4017094017094017,1.0915254316118574,1.489102966697042
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,20,0.975,0.8551406256728956,3.762478268693674,0.49572649572649574,1.0021229679456252,1.3671365241206024
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,20,0.99,0.8551406256728956,4.144565280921334,0.6267806267806267,0.9097373630018081,1.2411003600352757
